jira_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,resource_group,key_prefix,total_story_points,completed_story_points,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
CORE-1029,CORE,Core platform epic 30,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,20.0,4.0,20,False,False,2026-03-02,2026-04-27,,,
CORE-1033,CORE,Core platform epic 34,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,27.0,11.0,41,False,False,2026-03-30,2026-05-18,,,
CORE-1037,CORE,Core platform epic 38,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,20.0,6.0,30,False,False,2026-04-27,2026-06-08,,,
CORE-1041,CORE,Core platform epic 42,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,27.0,6.0,22,False,False,2026-05-25,2026-06-29,,,
CORE-1045,CORE,Core platform epic 46,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,20.0,10.0,50,False,False,2026-06-22,2026-07-20,,,
CORE-1049,CORE,Core platform yellow missing initiative rollup in updated CSV,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,21.0,4.0,19,False,False,2026-07-20,2026-09-14,,,
CORE-1002,CORE,Core platform completed since last update,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,21.0,10.0,48,False,False,2026-02-16,2026-03-30,,,
CORE-1006,CORE,Core platform blue missing dependency target,To Do,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,22.0,4.0,18,False,False,2026-03-16,2026-04-20,,,
CORE-1010,CORE,Core platform epic 11,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,4.0,21,False,False,2026-04-13,2026-05-11,,,
CORE-1014,CORE,Core platform epic 15,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,7.0,37,False,False,2026-05-11,2026-07-06,,,
CORE-1018,CORE,Core platform epic 19,To Do,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,11.0,58,False,False,2026-06-08,2026-07-27,,,
CORE-1022,CORE,Core platform epic 23,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,8.0,42,False,False,2026-07-06,2026-08-17,,,
CORE-1026,CORE,Core platform epic 27,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,1.0,5,False,False,2026-08-03,2026-09-07,,,
CORE-1030,CORE,Core platform epic 31,To Do,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,4.0,21,False,False,2026-03-09,2026-04-06,,,
CORE-1034,CORE,Core platform epic 35,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,7.0,37,False,False,2026-04-06,2026-06-01,,,
CORE-1038,CORE,Core platform epic 39,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,11.0,58,False,False,2026-05-04,2026-06-22,,,
CORE-1042,CORE,Core platform epic 43,To Do,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,11.0,58,False,False,2026-06-01,2026-07-13,,,
CORE-1046,CORE,Core platform epic 47,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,19.0,6.0,32,False,False,2026-06-29,2026-08-03,,,
CORE-1007,CORE,Core platform green dependency change,In Progress,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,24.0,13.0,54,False,False,2026-03-23,2026-05-04,,,
CORE-1011,CORE,Core platform epic 12,In Progress,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,20.0,10.0,50,False,False,2026-04-20,2026-05-25,,,
CORE-1015,CORE,Core platform epic 16,To Do,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,21.0,4.0,19,False,False,2026-05-18,2026-06-15,,,
CORE-1019,CORE,Core platform epic 20,In Progress,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,22.0,7.0,32,False,False,2026-06-15,2026-08-10,,,
CORE-1023,CORE,Core platform epic 24,In Progress,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,21.0,7.0,33,False,False,2026-07-13,2026-08-31,,,
CORE-1027,CORE,Core platform epic 28,To Do,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,22.0,11.0,50,False,False,2026-08-10,2026-09-21,,,
CORE-1031,CORE,Core platform epic 32,In Progress,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,21.0,10.0,48,False,False,2026-03-16,2026-04-20,,,
CORE-1035,CORE,Core platform epic 36,In Progress,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,22.0,4.0,18,False,False,2026-04-13,2026-05-11,,,
CORE-1039,CORE,Core platform epic 40,To Do,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,24.0,7.0,29,False,False,2026-05-11,2026-07-06,,,
CORE-1043,CORE,Core platform epic 44,In Progress,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,22.0,7.0,32,False,False,2026-06-08,2026-07-27,,,
CORE-1047,CORE,Core platform epic 48,In Progress,initiative,INIT-800,Integrations Roadmap,Core Product Engineering,CORE,24.0,11.0,46,False,False,2026-07-06,2026-08-17,,,
