jira_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,resource_group,key_prefix,total_story_points,completed_story_points,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
PLAT-4011,PLAT,Platform services epic 12,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,27.0,11.0,41,False,False,2026-05-25,2026-06-29,,,
PLAT-4014,PLAT,Platform services epic 15,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,19.0,10.0,53,False,False,2026-06-15,2026-08-10,,,
PLAT-4017,PLAT,Platform services epic 18,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,24.0,7.0,29,False,False,2026-07-06,2026-08-17,,,
PLAT-4020,PLAT,Platform services epic 21,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,19.0,11.0,58,False,False,2026-07-27,2026-08-24,,,
PLAT-4023,PLAT,Platform services epic 24,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,20.0,10.0,50,False,False,2026-08-17,2026-10-05,,,
PLAT-4026,PLAT,Platform services epic 27,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Platform Engineering,PLAT,19.0,7.0,37,False,False,2026-09-07,2026-10-12,,,
CORE-1000,CORE,Core platform green changed name - renamed in Jira,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,24.0,7.0,29,False,False,2026-02-02,2026-03-09,,,
CORE-1004,CORE,Core platform intended red schedule cascade root when run through Microsoft Project,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,27.0,11.0,41,False,False,2026-03-02,2026-06-01,,CORE-1005,
CORE-1008,CORE,Core platform epic 09,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,20.0,6.0,30,False,False,2026-03-30,2026-05-18,,,
CORE-1012,CORE,Core platform epic 13,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,27.0,6.0,22,False,False,2026-04-27,2026-06-08,,,
CORE-1016,CORE,Core platform epic 17,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,20.0,10.0,50,False,False,2026-05-25,2026-06-29,,,
CORE-1020,CORE,Core platform epic 21,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,27.0,10.0,37,False,False,2026-06-22,2026-07-20,,,
CORE-1024,CORE,Core platform epic 25,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,20.0,4.0,20,False,False,2026-07-20,2026-09-14,,,
CORE-1028,CORE,Core platform epic 29,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,5.0,26,False,False,2026-02-23,2026-04-13,,,
CORE-1032,CORE,Core platform epic 33,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,6.0,32,False,False,2026-03-23,2026-05-04,,,
CORE-1036,CORE,Core platform epic 37,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,10.0,53,False,False,2026-04-20,2026-05-25,,,
CORE-1040,CORE,Core platform epic 41,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,10.0,53,False,False,2026-05-18,2026-06-15,,,
CORE-1044,CORE,Core platform epic 45,In Progress,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,19.0,4.0,21,False,False,2026-06-15,2026-08-10,,,
CORE-1980,CORE,Core platform green added epic,To Do,initiative,INIT-100,Customer Identity And Access,Core Product Engineering,CORE,20.0,0.0,0,False,False,2026-09-08,2026-10-20,,,
WEB-2001,WEB,Web experience epic 02,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,27.0,11.0,41,False,False,2026-08-03,2026-09-07,,,
WEB-2004,WEB,Web experience epic 05,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,24.0,7.0,29,False,False,2026-08-24,2026-10-19,,,
WEB-2007,WEB,Web experience epic 08,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,22.0,4.0,18,False,False,2026-03-23,2026-05-04,,,
WEB-2010,WEB,Web experience green-gray in planning,To Do,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,0.0,0.0,0,True,False,2026-04-13,2026-05-11,,,
WEB-2013,WEB,Web experience epic 14,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,7.0,37,False,False,2026-05-04,2026-06-22,,,
WEB-2016,WEB,Web experience epic 17,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,4.0,21,False,False,2026-05-25,2026-06-29,,,
WEB-2019,WEB,Web experience epic 20,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,10.0,53,False,False,2026-06-15,2026-08-10,,,
WEB-2022,WEB,Web experience epic 23,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,21.0,7.0,33,False,False,2026-07-06,2026-08-17,,,
WEB-2025,WEB,Web experience epic 26,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,20.0,4.0,20,False,False,2026-07-27,2026-08-24,,,
WEB-2028,WEB,Web experience epic 29,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,27.0,10.0,37,False,False,2026-08-17,2026-10-05,,,
WEB-2031,WEB,Web experience epic 32,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,6.0,32,False,False,2026-09-07,2026-10-12,,,
WEB-2034,WEB,Web experience epic 35,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,11.0,58,False,False,2026-04-06,2026-06-01,,,
WEB-2037,WEB,Web experience epic 38,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,7.0,37,False,False,2026-04-27,2026-06-08,,,
WEB-2040,WEB,Web experience epic 41,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,27.0,6.0,22,False,False,2026-05-18,2026-06-15,,,
WEB-2043,WEB,Web experience epic 44,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,24.0,11.0,46,False,False,2026-06-08,2026-07-27,,,
WEB-2002,WEB,Web experience epic 03,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,22.0,7.0,32,False,False,2026-08-10,2026-09-21,,,
WEB-2005,WEB,Web experience epic 06,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,21.0,4.0,19,False,False,2026-08-31,2026-09-28,,,
WEB-2008,WEB,Web experience blue self dependency,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,20.0,10.0,50,False,False,2026-03-30,2026-05-18,,,Skipped self-dependency WEB-2008 -> WEB-2008.
WEB-2011,WEB,Web experience epic 12,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,5.0,26,False,False,2026-04-20,2026-05-25,,,
WEB-2014,WEB,Web experience epic 15,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,3.0,16,False,False,2026-05-11,2026-07-06,,,
WEB-2017,WEB,Web experience epic 18,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,2.0,11,False,False,2026-06-01,2026-07-13,,,
WEB-2020,WEB,Web experience epic 21,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,20.0,6.0,30,False,False,2026-06-22,2026-07-20,,,
WEB-2023,WEB,Web experience epic 24,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,27.0,11.0,41,False,False,2026-07-13,2026-08-31,,,
WEB-2026,WEB,Web experience epic 27,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,24.0,7.0,29,False,False,2026-08-03,2026-09-07,,,
WEB-2029,WEB,Web experience epic 30,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,22.0,4.0,18,False,False,2026-08-24,2026-10-19,,,
WEB-2032,WEB,Web experience epic 33,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,11.0,58,False,False,2026-09-14,2026-10-26,,,
WEB-2035,WEB,Web experience epic 36,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,7.0,37,False,False,2026-04-13,2026-05-11,,,
WEB-2038,WEB,Web experience epic 39,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,4.0,21,False,False,2026-05-04,2026-06-22,,,
WEB-2041,WEB,Web experience epic 42,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,22.0,11.0,50,False,False,2026-05-25,2026-06-29,,,
WEB-2044,WEB,Web experience epic 45,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,21.0,7.0,33,False,False,2026-06-15,2026-08-10,,,
DATA-3002,DATA,Data platform epic 03,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,21.0,4.0,19,False,False,2026-07-06,2026-08-17,,,
DATA-3005,DATA,Data platform epic 06,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,19.0,11.0,58,False,False,2026-07-27,2026-08-24,,,
DATA-3008,DATA,Data platform blue circular dependency pair,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,20.0,10.0,50,False,False,2026-08-17,2026-10-05,,DATA-3009,
DATA-3011,DATA,Data platform epic 12,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,19.0,3.0,16,False,False,2026-09-07,2026-10-12,,,
DATA-3014,DATA,Data platform epic 15,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,22.0,11.0,50,False,False,2026-09-28,2026-11-23,,,
DATA-3017,DATA,Data platform epic 18,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,19.0,2.0,11,False,False,2026-04-27,2026-06-08,,,
DATA-3020,DATA,Data platform epic 21,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,27.0,11.0,41,False,False,2026-05-18,2026-06-15,,,
DATA-3023,DATA,Data platform epic 24,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,19.0,10.0,53,False,False,2026-06-08,2026-07-27,,,
DATA-3026,DATA,Data platform epic 27,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,24.0,7.0,29,False,False,2026-06-29,2026-08-03,,,
DATA-3029,DATA,Data platform epic 30,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,19.0,6.0,32,False,False,2026-07-20,2026-09-14,,,
DATA-3032,DATA,Data platform epic 33,In Progress,initiative,INIT-1500,Forecasting Program,Data Engineering,DATA,20.0,10.0,50,False,False,2026-08-10,2026-09-21,,,
CORE-1001,CORE,Core platform green percent/date changes,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,27.0,17.0,63,False,False,2026-02-12,2026-03-30,,CORE-1007,
CORE-1003,CORE,Core platform rollup move,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,22.0,8.0,36,False,False,2026-02-23,2026-04-13,,,
CORE-1005,CORE,Core platform intended downstream schedule cascade item,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,32.0,15.0,47,False,False,2026-03-09,2026-04-06,CORE-1004,,
CORE-1009,CORE,Core platform epic 10,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,28.0,12.0,43,False,False,2026-04-06,2026-06-01,,,
CORE-1013,CORE,Core platform epic 14,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,32.0,11.0,34,False,False,2026-05-04,2026-06-22,,,
CORE-1017,CORE,Core platform epic 18,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,28.0,6.0,21,False,False,2026-06-01,2026-07-13,,,
CORE-1021,CORE,Core platform epic 22,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,32.0,6.0,19,False,False,2026-06-29,2026-08-03,,,
CORE-1025,CORE,Core platform epic 26,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,28.0,10.0,36,False,False,2026-07-27,2026-08-24,,,
CORE-1029,CORE,Core platform epic 30,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,20.0,4.0,20,False,False,2026-03-02,2026-04-27,,,
CORE-1033,CORE,Core platform epic 34,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,27.0,11.0,41,False,False,2026-03-30,2026-05-18,,,
CORE-1037,CORE,Core platform epic 38,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,20.0,6.0,30,False,False,2026-04-27,2026-06-08,,,
CORE-1041,CORE,Core platform epic 42,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,27.0,6.0,22,False,False,2026-05-25,2026-06-29,,,
CORE-1045,CORE,Core platform epic 46,To Do,initiative,INIT-200,Revenue And Billing Modernization,Core Product Engineering,CORE,20.0,10.0,50,False,False,2026-06-22,2026-07-20,,,
DATA-3000,DATA,Data platform epic 01,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,24.0,11.0,46,False,False,2026-06-22,2026-07-20,,,
DATA-3003,DATA,Data platform epic 04,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,19.0,10.0,53,False,False,2026-07-13,2026-08-31,,,
DATA-3006,DATA,Data platform epic 07,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,22.0,7.0,32,False,False,2026-08-03,2026-09-07,,,
DATA-3009,DATA,Data platform blue circular dependency pair,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,19.0,6.0,32,False,False,2026-08-24,2026-10-19,DATA-3008,,Skipped circular dependency DATA-3009 -> DATA-3008.
DATA-3012,DATA,Data platform epic 13,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,27.0,10.0,37,False,False,2026-09-14,2026-10-26,,,
DATA-3015,DATA,Data platform epic 16,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,19.0,5.0,26,False,False,2026-10-05,2026-11-02,,,
DATA-3018,DATA,Data platform epic 19,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,24.0,6.0,25,False,False,2026-05-04,2026-06-22,,,
DATA-3021,DATA,Data platform epic 22,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,19.0,7.0,37,False,False,2026-05-25,2026-06-29,,,
DATA-3024,DATA,Data platform epic 25,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,20.0,6.0,30,False,False,2026-06-15,2026-08-10,,,
DATA-3027,DATA,Data platform epic 28,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,19.0,4.0,21,False,False,2026-07-06,2026-08-17,,,
DATA-3030,DATA,Data platform epic 31,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,22.0,7.0,32,False,False,2026-07-27,2026-08-24,,,
DATA-3033,DATA,Data platform epic 34,To Do,initiative,INIT-300,Data Foundations,Data Engineering,DATA,19.0,6.0,32,False,False,2026-08-17,2026-10-05,,,
WEB-2000,WEB,Web experience epic 01,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,21.0,7.0,33,False,False,2026-07-27,2026-08-24,,,
WEB-2003,WEB,Web experience epic 04,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,20.0,4.0,20,False,False,2026-08-17,2026-10-05,,,
WEB-2006,WEB,Web experience epic 07,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,27.0,10.0,37,False,False,2026-03-16,2026-04-20,,,
WEB-2009,WEB,Web experience epic 10,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,24.0,6.0,25,False,False,2026-04-06,2026-06-01,,,
WEB-2012,WEB,Web experience epic 13,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,11.0,58,False,False,2026-04-27,2026-06-08,,,
WEB-2015,WEB,Web experience epic 16,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,7.0,37,False,False,2026-05-18,2026-06-15,,,
WEB-2018,WEB,Web experience epic 19,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,4.0,21,False,False,2026-06-08,2026-07-27,,,
WEB-2021,WEB,Web experience epic 22,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,24.0,11.0,46,False,False,2026-06-29,2026-08-03,,,
WEB-2024,WEB,Web experience epic 25,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,22.0,7.0,32,False,False,2026-07-20,2026-09-14,,,
WEB-2027,WEB,Web experience epic 28,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,21.0,4.0,19,False,False,2026-08-10,2026-09-21,,,
WEB-2030,WEB,Web experience epic 31,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,8.0,42,False,False,2026-08-31,2026-09-28,,,
WEB-2033,WEB,Web experience epic 34,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,5.0,26,False,False,2026-09-21,2026-11-09,,,
WEB-2036,WEB,Web experience epic 37,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,3.0,16,False,False,2026-04-20,2026-05-25,,,
WEB-2039,WEB,Web experience epic 40,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,2.0,11,False,False,2026-05-11,2026-07-06,,,
WEB-2042,WEB,Web experience epic 43,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,20.0,6.0,30,False,False,2026-06-01,2026-07-13,,,
DATA-3001,DATA,Data platform epic 02,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,19.0,7.0,37,False,False,2026-06-29,2026-08-03,,,
DATA-3004,DATA,Data platform epic 05,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,27.0,6.0,22,False,False,2026-07-20,2026-09-14,,,
DATA-3007,DATA,Data platform epic 08,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,19.0,4.0,21,False,False,2026-08-10,2026-09-21,,,
DATA-3010,DATA,Data platform epic 11,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,21.0,7.0,33,False,False,2026-08-31,2026-09-28,,,
DATA-3013,DATA,Data platform epic 14,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,19.0,1.0,5,False,False,2026-09-21,2026-11-09,,,
DATA-3016,DATA,Data platform epic 17,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,20.0,4.0,20,False,False,2026-10-12,2026-11-16,,,
DATA-3019,DATA,Data platform epic 20,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,19.0,8.0,42,False,False,2026-05-11,2026-07-06,,,
DATA-3022,DATA,Data platform epic 23,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,22.0,4.0,18,False,False,2026-06-01,2026-07-13,,,
DATA-3025,DATA,Data platform epic 26,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,19.0,11.0,58,False,False,2026-06-22,2026-07-20,,,
DATA-3028,DATA,Data platform epic 29,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,21.0,10.0,48,False,False,2026-07-13,2026-08-31,,,
DATA-3031,DATA,Data platform epic 32,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,19.0,4.0,21,False,False,2026-08-03,2026-09-07,,,
DATA-3034,DATA,Data platform unparsed date warning,In Progress,initiative,INIT-600,Program Reporting,Data Engineering,DATA,24.0,11.0,46,False,False,2026-08-24,not-a-date,,,
CORE-1002,CORE,Core platform completed since last update,Done,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,21.0,21.0,100,False,True,2026-02-16,2026-03-30,,,
CORE-1006,CORE,Core platform blue missing dependency target,To Do,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,22.0,4.0,18,False,False,2026-03-16,2026-04-20,,,Missing dependency target EXT-999.
CORE-1010,CORE,Core platform epic 11,In Progress,initiative,INIT-700,Security Hardening,Core Product Engineering,CORE,21.0,4.0,19,False,False,2026-04-13,2026-05-11,,,
