Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Original),Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Deadline),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original Need Date),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment
Incorporate comments from Gate 3 Review into ESTAP GUI,SSWGUI-389,107697,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:10 PM,10/Sep/26 3:34 PM,18/Sep/26 3:22 PM,,,,Gate 3 Comment Adjudication,,,,,,EST,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-11,,Incorporate comments from Gate 3 Review into ESTAP GUI,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-382,,,,,,,,,,,,,,"1|i07xbl:r2",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,23/Feb/29 12:00 AM,24/Nov/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Incorporate comments from Gate 3 Review into TCAP GUI,SSWGUI-388,107696,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:10 PM,10/Sep/26 3:34 PM,18/Sep/26 3:22 PM,,,,Gate 3 Comment Adjudication,,,,,,TCS,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-8,,Incorporate comments from Gate 3 Review into TCAP GUI,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-382,,,,,,,,,,,,,,"1|i07xbl:r5",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,20/Feb/29 12:00 AM,21/Nov/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Incorporate comments from Gate 4 Review into TCAP GUI,SSWGUI-387,107695,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:10 PM,10/Sep/26 3:34 PM,18/Sep/26 3:22 PM,,,,Gate 4 Comment Adjudication,,,,,,TCS,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-5,,Incorporate comments from Gate 4 Review into TCAP GUI,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-381,,,,,,,,,,,,,,"1|i07xbl:r8",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,20/Jun/29 12:00 AM,21/Mar/29 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Incorporate comments from Gate 4 Review into ESTAP GUI,SSWGUI-386,107694,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:10 PM,10/Sep/26 3:34 PM,18/Sep/26 3:22 PM,,,,Gate 4 Comment Adjudication,,,,,,EST,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,Incorporate comments from Gate 4 Review into ESTAP GUI,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-381,,,,,,,,,,,,,,"1|i07xbl:r6i",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,20/Jun/29 12:00 AM,21/Mar/29 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Incorporate comments from Gate 3 Review into AMGUI,SSWGUI-385,107693,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:10 PM,10/Sep/26 3:34 PM,18/Sep/26 3:22 PM,,,,Gate 3 Comment Adjudication,,,,,,Alert Manager,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-13,,Incorporate comments from Gate 3 Review into AMGUI,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-382,,,,,,,,,,,,,,"1|i07xbl:qd",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,22/Feb/29 12:00 AM,23/Nov/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Incorporate comments from Gate 2 Review into ESTAP GUI,SSWGUI-384,107692,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:09 PM,10/Sep/26 3:34 PM,18/Sep/26 3:22 PM,,,,Gate 2 Comment Adjudication,,,,,,EST,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-10,,Incorporate comments from Gate 2 Review into ESTAP GUI,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,SSWGUI-383,,,,,,,,,,,,,,"1|i07xbl:ql",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,14/Oct/28 12:00 AM,15/Jul/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Gate 2 Review Comment Adj,SSWGUI-383,107691,Initiative,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:09 PM,11/Aug/26 5:26 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aeqo:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,15/Nov/28 12:00 AM,15/Jul/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Gate 3 Review Comment Adj,SSWGUI-382,107690,Initiative,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:09 PM,11/Aug/26 5:26 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aer4:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,16/Mar/29 12:00 AM,21/Nov/28 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Gate 4 Review Comment Adj,SSWGUI-381,107689,Initiative,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 5:09 PM,11/Aug/26 5:26 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aerc:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,26/Jul/29 12:00 AM,20/Mar/29 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Make status indicator reflect Overridden false better,SSWGUI-380,107688,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 4:38 PM,10/Sep/26 3:49 PM,18/Sep/26 3:22 PM,,,,,,,,,,Common,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-379,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:rr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
BUGS,SSWGUI-379,107687,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,11/Aug/26 4:38 PM,13/Aug/26 2:21 PM,18/Sep/26 3:22 PM,,,,,,,,,,,,,,0,"As a ,

I want/need ,

so .

{*}+Description+{*}:
 *  

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 *  

{color:#de350b}STORY TEMPLATE ABOVE; DELETE IF CREATING AN EPIC{color}

{color:#de350b}EPIC TEMPLATE BELOW; DELETE IF CREATING A STORY{color}

{+}*Summary*{+}:

[Paragraph form]

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 **  
 * {*}How does this fit into the larger project{*}:
 **  

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 **  
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,BUGS,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i07xbl:r9",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,04/Dec/27 12:00 AM,04/Sep/27 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Implement Download config ,SSWGUI-373,106881,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,30/Jul/26 7:06 PM,10/Sep/26 3:37 PM,18/Sep/26 3:22 PM,,,,Layout Manager,,,,,,Experimental,,,,0,An optional feature would be to download the config that is displayed on the wall ,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-364,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aank:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create content selection screen ,SSWGUI-372,106880,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,30/Jul/26 7:03 PM,10/Sep/26 3:37 PM,18/Sep/26 3:22 PM,,,,Layout Manager,,,,,,Experimental,,,,0,,,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- Make the UI 
- Make the backend to have the webserver push temp changes yet retain last known state. ",,,,,,,,,,,,,SSWGUI-364,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aanc:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create Home Page ,SSWGUI-368,106876,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,kbassi,kbassi,kbassi,30/Jul/26 7:02 PM,10/Sep/26 3:37 PM,18/Sep/26 3:22 PM,,,,Layout Manager,,,,,,Experimental,,,,0,"Create home page that allows you to navigate to the correct page based on location. 

It should have you select if it is a aft or port wall screen. 

It should have you select what screen it is. ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-364,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aamg:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create the ROV WS Display Screen,SSWGUI-365,106873,Story,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,30/Jul/26 6:57 PM,10/Sep/26 3:37 PM,18/Sep/26 3:22 PM,,,,Layout Manager,,,,,,Experimental,,,,0,"{*}+Description+{*}:
 * Display the content the backend tells it to. 

{+}*Acceptance Criteria*{+}:

GIVEN ,

WHEN ,

THEN .

{+}*UI/UX Notes*{+}:
 *  

{+}*Technical Notes*{+}:
 * When the page loads, it should be querying the backend to figure out what the content should be on the screen. It should receive a message that tells it whether to render a image, iframe or loading. The backend should just contain some dummy configuration. 
 * Visuals can be found here 
 * [https://192.168.3.34/cnfl1/spaces/SSWGUI/pages/178816414/Display+Manager+Sim+Application.]
 * The URL needs to have a placeholder to encode a displayID ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-364,,,To Do,,,,,,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aals:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Create Display Manager Sim,SSWGUI-364,106863,Epic,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,30/Jul/26 12:04 PM,10/Sep/26 3:37 PM,18/Sep/26 3:22 PM,,,,Layout Manager,,,,,,Experimental,,,,0,"{+}*Summary*{+}:

As a part of the development of our GUI, we need an easy way to configure the layout of content on our screens. We can develop a non tactical application in order to support that. We should not wait for LM to produce something to be used.  

{+}*Project Impact*{+}:
 * {*}What problem does this solve{*}:
 ** Easily launch different screens from the touch screen
 * {*}How does this fit into the larger project{*}:
 ** Enables operators to easily change content on each screens in a manner similar to what would be done on the boat. 

{+}*Implementation Overview*{+}:
 * {*}High Level Overview{*}:
 ** The touch screen implemented in a way that enables launching various GUIs across multiple screens.
 ** This can be used to support demos in the future. 
 ** We can save desired configurations. 
 * {*}Key Components/Docs/Specs{*}:
 **  

 ",,kbassi,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-11,,Create Display Manager Sim,To Do,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0aak0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,
Update GUI CI/CD Pipeline based on Implementation,SSWGUI-362,106300,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,kbassi,kbassi,21/Jul/26 7:48 AM,10/Sep/26 3:47 PM,18/Sep/26 3:22 PM,,,,PI 20,,,,,,,,,,0,,,kbassi,,,,,,,,,0,,,,0,,,SSWGUI-244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSWGUI-240,,,In Progress,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0a7ts:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,0%,11/Dec/26 12:00 AM,28/Nov/26 12:00 AM,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
Inject a faultly sensor scenario into the cross-segment CONOPs controls demo,SSWGUI-361,106132,Task,Done,SSWGUI,SSWGUI,software,kbassi,,,Lowest,Done,cmcverry,cmcverry,cmcverry,15/Jul/26 1:33 PM,24/Aug/26 6:00 PM,18/Sep/26 3:22 PM,24/Aug/26 6:00 PM,,,,,,,,,Experimental,HMI IPT,,,0,"Add logic to the Rapid GUI Prototype's fake ESTAP controller to produce a faulted component event that requires the GUI operator to use an off-nominal override. In particular the intention is for the operator to override either the state of FAD Motor Brakes or FAD Motor Blocking Valves to correct for a misbehaving sensor.

This will be shown in the PI 18 Review demo. 

Additionally, any lingering issues adversely affecting usability of the touchscreen controls should be addressed if possible. ",,cmcverry,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Logic added that injects a faulty sensor scenario while actively commanding the fake ESTAP controller in the GUI prototype. 

Off-nominal override controls should reliably correct the fault and allow for the CONOPs mission steps to progress. 

If leads have time, this should be demoed to them before the PI 18 Review dryrun",,,,,,,,,,,,,SSWGUI-69,,,Done,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0a75k:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
(For Connor Sheridan) - Provide an Updated TCS Requirments for Appendix F of the HMI Spec,SSWGUI-360,106091,Task,To Do,SSWGUI,SSWGUI,software,kbassi,,,Medium,,,zpryor,zpryor,14/Jul/26 5:56 PM,14/Jul/26 5:56 PM,18/Sep/26 3:22 PM,,,,,,,,,,HMI IPT,TCS,,,0,Owner of the GUI Spec will need to provide updated TCS requirements for appendix F for the HMI spec as the last review of HMI GUI Spec V1.5 determined that many of the TCS requirments in appendix F were out of date,,zpryor,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprint,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,,"1|i0a6xs:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,
