jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,hours_accuracy_percent,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
OPS-5001,OPS-5001,OPS,Scale Rows - Operations - Incident readiness wave 02,In Progress,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5001,Operations,OPS,27.0,6.0,19.5,6.5,13.5,22,No,No,2026-10-12,2026-11-16,OPS-5000,OPS-5002,
OPS-5003,OPS-5003,OPS,Scale Rows - Operations - Change advisory preparation wave 04,To Do,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5003,Operations,OPS,20.0,6.0,15.5,6.5,13.5,30,No,No,2026-10-26,2026-12-14,OPS-5002,OPS-5004,
OPS-5005,OPS-5005,OPS,Scale Rows - Operations - Capacity review wave 06,In Progress,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5005,Operations,OPS,21.0,7.0,18.0,9.0,16.1,33,No,No,2026-11-09,2026-12-07,OPS-5004,OPS-5006,
OPS-5007,OPS-5007,OPS,Scale Rows - Operations - Service review cadence wave 08,In Progress,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5007,Operations,OPS,22.0,7.0,20.5,9.0,16.1,32,No,No,2026-11-23,2027-01-04,OPS-5006,OPS-5008,
OPS-5009,OPS-5009,OPS,Scale Rows - Operations - Incident readiness wave 10,To Do,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5009,Operations,OPS,24.0,7.0,16.5,9.0,16.1,29,No,No,2026-06-15,2026-08-10,OPS-5008,OPS-5010,
OPS-5011,OPS-5011,OPS,Scale Rows - Operations - Change advisory preparation wave 12,In Progress,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5011,Operations,OPS,19.0,10.0,17.0,4.0,5.0,53,No,No,2026-06-29,2026-08-03,OPS-5010,OPS-5012,
OPS-5013,OPS-5013,OPS,Scale Rows - Operations - Capacity review wave 14,In Progress,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5013,Operations,OPS,19.0,8.0,18.0,1.0,1.6,42,No,No,2026-07-13,2026-08-31,OPS-5012,OPS-5014,
OPS-5015,OPS-5015,OPS,Scale Rows - Operations - Service review cadence wave 16,To Do,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5015,Operations,OPS,19.0,11.0,19.0,6.5,7.4,58,No,No,2026-07-27,2026-08-24,OPS-5014,OPS-5016,
OPS-5017,OPS-5017,OPS,Scale Rows - Operations - Incident readiness wave 18,In Progress,fixVersion,Operations Q2,Operations Q2,Scheduled,Operations Q2,Yes,OPS-5017,Operations,OPS,19.0,11.0,13.5,6.5,7.4,58,No,No,2026-08-10,2026-09-21,OPS-5016,OPS-5018,
OPS-5019,OPS-5019,OPS,Client Walkthrough - Shop deliverable split fixVersion example,In Progress,fixVersion,Qualification Event 2,Qualification Event 2,Scheduled,Qualification Event 2,Yes,OPS-5019,Operations,OPS,19.0,3.0,14.5,5.5,22.9,16,No,No,2026-08-24,2026-10-19,,,
